sticker_number,amount
22,1
37,1
45,1
61,1
68,1
71,1
76,1
77,1
89,1
99,1
106,1
113,1
131,1
132,1
140,1
147,1
148,1
150,1
161,1
166,1
170,1
173,1
178,1
185,1
205,1
231,1
236,1
240,1
243,1
262,1
272,1
296,1
298,1
300,1
308,1
309,1
313,1
320,1
324,1
335,1
346,1
347,1
352,1
357,1
362,1
368,1
375,1
376,1
380,1
393,1
400,1
402,1
406,1
407,1
414,1
415,1
418,1
425,1
427,1
428,1
433,1
434,1
437,1
444,1
449,1
453,1
460,2
480,1
488,1
491,1
500,1
503,1
507,1
509,1
513,1
516,1
517,1
526,1
539,1
542,1
550,1
555,1
561,1
563,1
574,1
575,1
581,1
589,1
591,1
596,1
608,1
614,1
631,1
645,1
648,1
654,1
658,1
659,1
681,1
693,1
695,1
705,1
709,1
